entity,iter,beta,truck,plant,trips,delivered,selected,wait_pl,wait_cd,no_empty,no_full,util_%,queue_loaded,queue_empty_p,queue_empty_cd
truck,49,0.0,1.0,1,26.0,28,29,0.0,5.24,5.0,0.0,98.91,0,0,0
truck,49,0.0,2.0,2,28.0,25,26,7.9,10.85,7.0,3.0,96.09,0,1,0
truck,49,0.0,3.0,3,26.0,25,25,4.76,11.01,6.0,4.0,96.71,1,0,1
plant,49,0.0,,1,,28,29,,,,,,0,0,0
plant,49,0.0,,2,,25,26,,,,,,0,1,0
plant,49,0.0,,3,,25,25,,,,,,1,0,1
truck,50,0.0,1.0,1,27.0,30,31,0.34,0.0,0.0,2.0,99.93,0,0,0
truck,50,0.0,2.0,2,27.0,26,27,15.37,3.76,3.0,4.0,96.02,0,0,0
truck,50,0.0,3.0,3,27.0,23,23,3.53,0.59,1.0,3.0,99.14,0,0,1
plant,50,0.0,,1,,30,31,,,,,,0,0,0
plant,50,0.0,,2,,26,27,,,,,,0,0,0
plant,50,0.0,,3,,23,23,,,,,,0,0,1
truck,51,0.0,1.0,1,27.0,29,30,5.56,8.14,6.0,4.0,97.15,0,0,0
truck,51,0.0,2.0,2,26.0,26,26,0.0,2.26,3.0,0.0,99.53,0,0,1
truck,51,0.0,3.0,3,27.0,23,24,20.26,5.73,4.0,4.0,94.59,1,0,0
plant,51,0.0,,1,,29,30,,,,,,0,0,0
plant,51,0.0,,2,,26,26,,,,,,0,0,1
plant,51,0.0,,3,,23,24,,,,,,1,0,0
truck,52,0.0,1.0,1,26.0,28,29,2.74,15.13,9.0,1.0,96.28,0,0,0
truck,52,0.0,2.0,2,27.0,26,27,2.91,3.65,3.0,5.0,98.63,1,0,0
truck,52,0.0,3.0,3,27.0,23,24,3.97,17.17,16.0,2.0,95.6,1,0,0
plant,52,0.0,,1,,28,29,,,,,,0,0,0
plant,52,0.0,,2,,26,27,,,,,,1,0,0
plant,52,0.0,,3,,23,24,,,,,,1,0,0
truck,53,0.0,1.0,1,28.0,29,30,2.05,0.94,1.0,3.0,99.38,1,0,0
truck,53,0.0,2.0,2,27.0,27,28,11.31,9.83,5.0,2.0,95.6,1,0,0
truck,53,0.0,3.0,3,25.0,22,22,21.15,5.55,4.0,6.0,94.44,0,0,1
plant,53,0.0,,1,,29,30,,,,,,1,0,0
plant,53,0.0,,2,,27,28,,,,,,1,0,0
plant,53,0.0,,3,,22,22,,,,,,0,0,1
truck,54,0.0,1.0,1,27.0,28,29,2.72,6.74,8.0,2.0,98.03,0,0,0
truck,54,0.0,2.0,2,26.0,25,26,2.53,0.26,1.0,2.0,99.42,0,0,0
truck,54,0.0,3.0,3,27.0,25,25,5.53,5.68,7.0,4.0,97.66,1,0,1
plant,54,0.0,,1,,28,29,,,,,,0,0,0
plant,54,0.0,,2,,25,26,,,,,,0,0,0
plant,54,0.0,,3,,25,25,,,,,,1,0,1
truck,55,0.0,1.0,1,28.0,28,29,12.24,2.47,4.0,6.0,96.94,1,0,0
truck,55,0.0,2.0,2,27.0,25,26,4.7,11.15,13.0,1.0,96.7,0,0,0
truck,55,0.0,3.0,3,25.0,24,25,7.05,23.26,15.0,4.0,93.69,1,0,0
plant,55,0.0,,1,,28,29,,,,,,1,0,0
plant,55,0.0,,2,,25,26,,,,,,0,0,0
plant,55,0.0,,3,,24,25,,,,,,1,0,0
truck,56,0.0,1.0,1,26.0,27,28,2.9,16.17,14.0,2.0,96.03,0,0,0
truck,56,0.0,2.0,2,26.0,25,26,3.07,18.51,11.0,4.0,95.5,0,0,0
truck,56,0.0,3.0,3,26.0,23,24,0.0,21.56,20.0,0.0,95.51,1,0,0
plant,56,0.0,,1,,27,28,,,,,,0,0,0
plant,56,0.0,,2,,25,26,,,,,,0,0,0
plant,56,0.0,,3,,23,24,,,,,,1,0,0
truck,57,0.0,1.0,1,28.0,30,30,7.66,2.48,3.0,2.0,97.89,0,0,1
truck,57,0.0,2.0,2,27.0,25,26,0.59,0.0,0.0,1.0,99.88,1,0,0
truck,57,0.0,3.0,3,25.0,23,24,27.92,0.0,0.0,7.0,94.18,1,0,0
plant,57,0.0,,1,,30,30,,,,,,0,0,1
plant,57,0.0,,2,,25,26,,,,,,1,0,0
plant,57,0.0,,3,,23,24,,,,,,1,0,0
truck,58,0.0,1.0,1,26.0,29,29,1.67,10.29,5.0,2.0,97.51,1,0,1
truck,58,0.0,2.0,2,28.0,25,26,0.29,13.23,13.0,1.0,97.18,0,0,0
truck,58,0.0,3.0,3,26.0,24,25,5.97,9.37,7.0,3.0,96.8,0,0,0
